criterion,locale,n_prompts,judge_aggregation_method,mean,std,se,cv,min,q10,q25,median,q75,q90,max,iqr,range,avg_judge_std_within_prompt,avg_judge_range_within_prompt
coherence,ar_EG,46,mean,0.571808807134894,0.14373526719297552,0.02119260896337912,0.25136945321492277,0.2576923076923077,0.40224358974358976,0.46201923076923074,0.5509615384615385,0.6782051282051282,0.7512820512820513,0.9096153846153846,0.2161858974358975,0.6519230769230768,0.12420935217685643,0.3954710144927536
coherence,bn_BD,46,mean,0.43727703455964334,0.05263197747380793,0.007760161715038722,0.12036300403201046,0.34679487179487184,0.3685897435897436,0.4014423076923077,0.4362179487179487,0.4705128205128205,0.5048076923076923,0.5608974358974359,0.0690705128205128,0.21410256410256406,0.1037331743816331,0.341304347826087
coherence,cs_CZ,46,mean,0.41870122630992196,0.08793354802054597,0.01296509433178988,0.21001502382860876,0.2782051282051282,0.3205128205128205,0.3649038461538462,0.39775641025641023,0.4564102564102564,0.514102564102564,0.7173076923076922,0.09150641025641021,0.439102564102564,0.09497962423526626,0.28061594202898554
coherence,de_DE,46,mean,0.5670429208472687,0.186421678332269,0.02748637692298874,0.32876114219664354,0.3346153846153846,0.3836538461538462,0.41778846153846155,0.4740384615384615,0.7389423076923077,0.8451923076923077,0.9403846153846154,0.3211538461538462,0.6057692307692308,0.10698385932126102,0.33387681159420285
coherence,en_US,46,mean,0.5891304347826088,0.1746982703261173,0.025757854713759753,0.2965358094096455,0.2858974358974359,0.3907051282051282,0.45464743589743595,0.5631410256410256,0.7323717948717949,0.8419871794871795,0.9320512820512821,0.277724358974359,0.6461538461538462,0.10500966228079406,0.32626811594202904
coherence,hi_IN,46,mean,0.5760033444816053,0.10159393828357072,0.01497920899400956,0.17637734095971924,0.3647435897435897,0.45929487179487183,0.49086538461538465,0.5948717948717949,0.6466346153846154,0.7064102564102563,0.801923076923077,0.15576923076923077,0.43717948717948724,0.12172618430537034,0.38387681159420284
coherence,id_ID,46,mean,0.43115942028985504,0.10770608362751607,0.01588039565982391,0.24980570656465914,0.2743589743589744,0.3125,0.36330128205128204,0.39935897435897433,0.5019230769230769,0.5923076923076922,0.6833333333333333,0.13862179487179488,0.40897435897435896,0.08740767080532096,0.27952898550724636
coherence,ja_JP,46,mean,0.5043199554069119,0.17250218145755652,0.02543405907508916,0.3420490892897004,0.2846153846153846,0.2983974358974359,0.35272435897435894,0.4852564102564103,0.6099358974358975,0.7474358974358974,0.9153846153846155,0.25721153846153855,0.6307692307692309,0.11099235731910116,0.3699275362318841
coherence,ru_RU,46,mean,0.5721432552954293,0.13757343562077765,0.020284096462877262,0.24045277882327015,0.33782051282051284,0.40897435897435896,0.46971153846153846,0.555448717948718,0.6397435897435898,0.7532051282051282,0.916025641025641,0.17003205128205134,0.5782051282051281,0.11441795689945902,0.36086956521739133
coherence,zh_CN,46,mean,0.6157051282051281,0.1416916899172252,0.020891299932288797,0.23012913718987124,0.31923076923076926,0.44294871794871793,0.5107371794871794,0.6362179487179487,0.708974358974359,0.7615384615384615,0.8987179487179487,0.19823717948717956,0.5794871794871794,0.13387728375580546,0.4208333333333332
instruction_following,ar_EG,46,mean,0.5786928651059087,0.1223794029043124,0.01804385855728012,0.21147556896509395,0.2448717948717949,0.41378205128205126,0.4967948717948718,0.5874999999999999,0.6684294871794871,0.7323717948717948,0.7621794871794871,0.17163461538461533,0.5173076923076922,0.13532399293502329,0.4346014492753623
instruction_following,bn_BD,46,mean,0.44391025641025633,0.06067484435518956,0.008946017741123066,0.13668268186873028,0.31923076923076926,0.37692307692307697,0.3975961538461539,0.45160256410256416,0.48525641025641025,0.5038461538461538,0.6211538461538461,0.08766025641025638,0.3019230769230768,0.09892558290091044,0.3307971014492754
instruction_following,cs_CZ,46,mean,0.4332357859531772,0.11420703046088455,0.01683890797779474,0.2636140276584347,0.2794871794871795,0.325,0.35,0.4048076923076923,0.4774038461538461,0.5951923076923077,0.801923076923077,0.12740384615384615,0.5224358974358975,0.09358590867540369,0.29873188405797096
instruction_following,de_DE,46,mean,0.5330267558528429,0.2164277724751644,0.03191053413998524,0.4060354758906613,0.25833333333333336,0.2894230769230769,0.3591346153846154,0.46153846153846156,0.7184294871794872,0.864423076923077,0.9166666666666666,0.3592948717948718,0.6583333333333332,0.10740895348778037,0.33170289855072466
instruction_following,en_US,46,mean,0.6705964325529543,0.17406867952634575,0.02566502661466431,0.259572928033136,0.33269230769230773,0.42660256410256414,0.5272435897435898,0.6817307692307693,0.8120192307692308,0.8926282051282051,0.9416666666666667,0.284775641025641,0.6089743589743589,0.13745218180985216,0.4297101449275363
instruction_following,hi_IN,46,mean,0.5717809364548494,0.11416580797385349,0.016832830053669312,0.1996670415101686,0.3269230769230769,0.4403846153846154,0.4876602564102564,0.5576923076923077,0.6634615384615384,0.7182692307692307,0.8442307692307692,0.17580128205128204,0.5173076923076922,0.10755549076954969,0.3559782608695653
instruction_following,id_ID,46,mean,0.5329292084726867,0.16384073433647042,0.024156998368424023,0.3074343303607227,0.28205128205128205,0.3294871794871795,0.38397435897435894,0.5477564102564103,0.6506410256410257,0.7355769230769231,0.9307692307692308,0.2666666666666667,0.6487179487179487,0.10696183884325118,0.35072463768115947
instruction_following,ja_JP,46,mean,0.43913043478260877,0.1362367395466838,0.020087011378928293,0.31024208015581456,0.26474358974358975,0.294551282051282,0.3490384615384615,0.3875,0.5184294871794872,0.6246794871794872,0.8532051282051282,0.1693910256410257,0.5884615384615384,0.09433814471552582,0.3021739130434783
instruction_following,ru_RU,46,mean,0.5977982162764771,0.15456483680055716,0.02278934189063658,0.2585568718543518,0.2730769230769231,0.4198717948717949,0.47708333333333336,0.5875,0.7144230769230769,0.7916666666666666,0.926923076923077,0.23733974358974358,0.6538461538461539,0.12511398448365005,0.4010869565217391
instruction_following,zh_CN,46,mean,0.5715301003344481,0.2077782249960449,0.030635227939809204,0.3635473002637257,0.2762820512820513,0.3435897435897436,0.40128205128205124,0.48173076923076924,0.7818910256410256,0.8596153846153846,0.9461538461538462,0.3806089743589744,0.6698717948717949,0.11763506810931136,0.37173913043478257
naturalness,ar_EG,46,mean,0.46300167224080274,0.09703006868495183,0.014306303132753325,0.20956742599946251,0.32051282051282054,0.35096153846153844,0.39342948717948717,0.44871794871794873,0.5025641025641026,0.6096153846153847,0.741025641025641,0.10913461538461539,0.4205128205128204,0.1403136744059392,0.43623188405797086
naturalness,bn_BD,46,mean,0.45085005574136006,0.06861923299659625,0.010117353942866815,0.15219967730460074,0.31858974358974357,0.378525641025641,0.4044871794871795,0.44519230769230766,0.49423076923076925,0.5346153846153846,0.6423076923076922,0.08974358974358976,0.3237179487179487,0.10942672356065478,0.3518115942028985
naturalness,cs_CZ,46,mean,0.43606465997770344,0.08668299998471739,0.01278071108312165,0.19878473983456857,0.28076923076923077,0.333974358974359,0.3794871794871795,0.4307692307692308,0.4775641025641026,0.5381410256410257,0.6698717948717949,0.09807692307692306,0.38910256410256416,0.10679889165461301,0.3273550724637681
naturalness,de_DE,46,mean,0.4612040133779263,0.16500202766794114,0.024328221728885702,0.3577636422966962,0.2717948717948718,0.3125,0.34775641025641024,0.39935897435897433,0.5618589743589744,0.7602564102564103,0.907051282051282,0.21410256410256412,0.6352564102564102,0.09355470200012479,0.29384057971014493
naturalness,en_US,46,mean,0.5959726867335563,0.1893113031636142,0.027912428860676044,0.3176509718947075,0.3153846153846154,0.3782051282051282,0.43157051282051284,0.5477564102564103,0.7674679487179488,0.842948717948718,0.9903846153846154,0.3358974358974359,0.675,0.08819034003779376,0.2715579710144928
naturalness,hi_IN,46,mean,0.543659420289855,0.11493837644371731,0.01694673906012963,0.21141614060957,0.3698717948717949,0.42339743589743584,0.447275641025641,0.5240384615384616,0.6322115384615384,0.6836538461538462,0.8730769230769231,0.18493589743589745,0.5032051282051282,0.11279360139535709,0.3568840579710145
naturalness,id_ID,46,mean,0.41440914158305453,0.11980026196705876,0.017663584972292267,0.2890869190515885,0.22243589743589742,0.2846153846153846,0.33044871794871794,0.41057692307692306,0.44887820512820514,0.589102564102564,0.7185897435897436,0.1184294871794872,0.49615384615384617,0.08017542752992486,0.2521739130434783
naturalness,ja_JP,46,mean,0.47056856187290974,0.1733923382184542,0.02556530552920042,0.36847412315080175,0.2275641025641026,0.27083333333333337,0.3355769230769231,0.45384615384615384,0.5657051282051282,0.7301282051282051,0.8833333333333333,0.2301282051282051,0.6557692307692307,0.1076722079735624,0.3485507246376812
naturalness,ru_RU,46,mean,0.4341833890746935,0.12439957735460586,0.01834171703000553,0.2865139028457976,0.23397435897435898,0.3157051282051282,0.3517628205128205,0.3891025641025641,0.5065705128205129,0.6080128205128206,0.7320512820512821,0.15480769230769242,0.49807692307692314,0.10023478638853497,0.3228260869565217
naturalness,zh_CN,46,mean,0.5835702341137124,0.14465653262620032,0.021328442140991673,0.2478819586230182,0.3269230769230769,0.43685897435897436,0.4690705128205128,0.5621794871794872,0.6639423076923078,0.8144230769230769,0.917948717948718,0.19487179487179496,0.5910256410256411,0.10563939795511025,0.3469202898550725
